Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD,AvgOpenOrders,MaxOpenOrders,CreatedWindow1,CreatedWindow2,CreatedWindow3,CreatedWindow4,CompletedWindow1,CompletedWindow2,CompletedWindow3,CompletedWindow4,SourceFile
autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7204,306.097,752.8334,8291.2467,5125.4878,240.1333,143.9101,0.0967,80.5765,0.0,10364.0584,0,7207,0.0,240.1333,143.9101,25.662,291,446,2990,2358,1417,445,2988,2070,1701,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7078,42.9398,18.8963,8111.4071,489.0229,235.9333,15.4003,0.1751,79.4535,0.0,10139.2589,0,7084,0.0,235.9333,15.4003,3.6934,23,429,2869,2378,1408,429,2863,2374,1412,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7245,50.5246,26.1076,8381.6636,459.1918,241.5,10.2948,0.1544,3.4337,74.8294,10477.0795,6225,1024,6.0791,241.5,10.2948,4.2334,30,444,2978,2384,1443,444,2975,2373,1453,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7242,50.0134,24.7765,8483.4801,715.3908,241.4,18.9329,0.1505,1.7854,77.2694,10604.3501,4643,123,37.748,241.4,18.9329,4.3589,23,430,2935,2424,1456,430,2930,2413,1469,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7197,43.9382,21.3807,8373.673,789.0877,239.9,22.3859,0.1033,78.9104,0.0,10467.0912,0,7199,0.0,239.9,22.3859,3.8467,20,442,2946,2450,1361,441,2941,2445,1370,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7140,48.9997,22.7705,8327.5218,362.0054,238.0,0.9826,0.0874,3.2939,75.1611,10409.4022,0,930,0.0,238.0,0.9826,4.0174,25,418,2989,2312,1423,418,2984,2298,1440,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7138,47.4784,35.6396,8256.6091,475.0309,237.9333,11.4589,0.2071,77.5329,0.0,10320.7613,0,7144,0.0,237.9333,11.4589,3.9721,26,430,2930,2414,1371,430,2928,2408,1372,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7229,48.9573,24.8291,8417.0574,233.8972,240.9667,1.7117,0.198,1.3313,77.7647,10521.3218,0,199,0.0,240.9667,1.7117,4.216,25,445,2999,2373,1419,443,2993,2368,1425,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7386,47.3517,20.2515,8503.865,317.6842,246.2,1.901,0.0573,1.5317,77.3191,10629.8313,0,226,0.0,246.2,1.901,4.1185,19,429,2988,2503,1469,427,2987,2489,1483,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7309,48.5515,22.4509,8474.671,281.1205,243.6333,2.2967,0.1265,1.2844,77.6921,10593.3387,0,233,0.0,243.6333,2.2967,4.1045,27,438,2954,2486,1435,438,2949,2477,1445,courier_experiment_results_01-16-20.568_pm_18-Mar-2025.csv
